word,meaning,group,sources
bai,goodbye,Greetings and basics,"English bye — borrowed as Mandarin 拜拜 bàibài, Japanese baibai, Hindi/Urdu bāy, Indonesian bai — already-global"
bas,"enough, stop",Greetings and basics,"Hindi/Urdu bas, Persian bas, Swahili basi, Turkish bas"
hi,hello,Greetings and basics,"English hi — travels with English into casual speech nearly everywhere, and the shape never changes — already-global"
mersi,thank you,Greetings and basics,"French merci — adopted in Persian, Turkish, Romanian, Bulgarian, Greek, Egyptian Arabic"
no,"no; not — before the predicate, see grammar/negation.md",Greetings and basics,"the na/ne root: Spanish/Italian no, English no/not, Latin non, Russian ne, Polish nie, Sanskrit/Hindi na, Persian na-"
ok,ok,Greetings and basics,"English OK — Japanese ōkē, Korean okei, Turkish okey, Russian okey, Spanish/Portuguese ok; among the most widely borrowed words on Earth — already-global"
pardon,"sorry, excuse me",Greetings and basics,"French pardon — adopted in Turkish, Russian, Persian, Arabic dialects; Spanish perdón"
plis,please,Greetings and basics,"English please, already-global"
salam,peaceful greeting,Greetings and basics,"Arabic, Hebrew, Persian, Turkish, Urdu, Swahili"
ya,yes,Greetings and basics,"Indonesian/Malay ya, Javanese ya; German/Dutch/Swedish/Norwegian ja"
anak,child,People,"Indonesian/Malay anak, Tagalog anak, Javanese anak"
dugu,sibling — no gender,People,Swahili ndugu
familia,family,People,"Latin familia, Spanish familia, Swahili familia, Polish familia, Russian familiya"
insan,"person, human",People,"Arabic insān — adopted in Turkish, Persian, Urdu, Indonesian, Swahili insani"
kisan,farmer,People,"Hindi/Urdu kisān, Nepali kisan, Bengali kisan"
kita,"we, including you — see grammar/pronouns.md",People,"Indonesian, Malay, Tagalog"
mama,mother,People,"a nursery word shared across nearly every family on Earth: Mandarin māma, Swahili mama, Spanish mamá, Russian mama, Arabic māmā, Hindi mā̃"
mi,"I, me",People,"Spanish/Italian mi, English me, Swahili mimi"
mualim,teacher,People,"Arabic muʿallim (معلم), Swahili mwalimu, Turkish muallim, Urdu muallim, Indonesian muallim"
nama,name,People,"Sanskrit/Hindi naam, Indonesian nama, Japanese namae, English name"
nasab,"relative, kin",People,"Arabic nasab (lineage), Turkish nesep, Urdu/Hindi nasab, Swahili nasaba"
papa,father,People,"the nursery pair of mama, as widespread: Mandarin bàba, Swahili baba, Turkish baba, Spanish papá, Hindi pāpā, Russian papa"
polisi,police,People,"Greek polis → global: Swahili polisi, Indonesian polisi, Turkish polis, Russian politsiya"
rafiki,friend,People,"Swahili rafiki, Arabic rafīq, Persian rafiq"
sofer,driver,People,"French chauffeur → Turkish şoför, Russian shofyor, Indonesian sopir, Arabic shufīr"
ta,"he, she, it — no gender",People,"Chinese tā 他/她/它, one sound for all three"
tacir,merchant,People,"Arabic tājir (تاجر), Turkish tacir, Urdu tājir, Swahili tajiri"
yu,you — one form for everyone,People,English you
ain,eye,Body,"Arabic ʿayn (عين), Hebrew ayin"
burun,nose,Body,"Turkish burun, Azeri burun, Turkmen burun"
cehra,face,Body,"Hindi/Urdu chehra, Persian chehreh, Nepali cehara"
dente,tooth,Body,"Latin dentem → Italian dente, Spanish diente, Portuguese dente, French dent, English dental"
kaki,"foot, leg",Body,Indonesian/Malay/Tagalog kaki
kalb,heart,Body,"Arabic qalb (قلب), Turkish kalp, Urdu qalb, Persian qalb"
